ID,OBJETO,COMUNAS,BARRIOS,PERIMETRO,AREA
1,LIMITE COMUNAL,2,RECOLETA,21452.8386478,6317264.560990001
3,LIMITE COMUNAL,6,CABALLITO,10990.9644715,6851028.913569999
6,LIMITE COMUNAL,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,18332.0374567,12656556.9378
7,LIMITE COMUNAL,11,VILLA DEL PARQUE - VILLA DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,19987.696155,14120042.4238
8,LIMITE COMUNAL,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,17232.189372,15570926.6376
9,LIMITE COMUNAL,14,PALERMO,22126.5318584,15845871.2876
11,LIMITE COMUNAL,15,AGRONOMIA - CHACARITA - PARQUE CHAS - PATERNAL - VILLA CRESPO - VILLA ORTUZAR,17832.5855796,14322896.604100002
15,LIMITE COMUNAL,13,BELGRANO - COLEGIALES - NUÑEZ,26198.8269533,14713213.182099998
13,LIMITE COMUNAL,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,35423.2827986,21684644.6266
2,LIMITE COMUNAL,5,ALMAGRO - BOEDO,12323.4324792,6660603.11937
4,LIMITE COMUNAL,7,FLORES - PARQUE CHACABUCO,17972.2578696,12422900.8308
10,LIMITE COMUNAL,3,BALVANERA - SAN CRISTOBAL,10486.2608092,6385991.39578
5,LIMITE COMUNAL,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,21411.738344,16505305.786100002
12,LIMITE COMUNAL,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,20935.0125125,22216901.8455
14,LIMITE COMUNAL,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,36102.2015728,17794568.879
